Date,Open,Close
1/1/1999,21.9375,21.109375
2/1/1999,21.28125,21.4375
3/1/1999,21.28125,21.75
4/1/1999,21.78125,27.125
5/1/1999,27.21875,24.65625
6/1/1999,24.90625,26
7/1/1999,26.140625,25.703125
8/1/1999,25.53125,24.546875
9/1/1999,24.546875,23.703125
10/1/1999,23.90625,24.265625
11/1/1999,24.40625,23.921875
12/1/1999,24.03125,26.578125
1/1/2000,26.671875,23.328125
2/1/2000,23.328125,20.984375
3/1/2000,21.234375,23.046875
4/1/2000,23.4375,22.28125
5/1/2000,22.078125,21.578125
6/1/2000,21.234375,19.640625
7/1/2000,19.96875,19.8125
8/1/2000,19.890625,20.265625
9/1/2000,20.15625,18.171875
10/1/2000,18.125,19.765625
11/1/2000,19.875,19.265625
12/1/2000,19.640625,21.421875
1/1/2001,21.75,20.85
2/1/2001,21.219999,21.120001
3/1/2001,21.18,19.969999
4/1/2001,20.48,22.1
5/1/2001,22.049999,22.950001
6/1/2001,23.16,22.059999
7/1/2001,21.959999,22
8/1/2001,22.1,21.91
9/1/2001,21.65,19.200001
10/1/2001,19.200001,19.719999
11/1/2001,19.92,22.219999
12/1/2001,21.799999,21.42
1/1/2002,21.440001,21.92
2/1/2002,22.1,23.08
3/1/2002,22.969999,23.709999
4/1/2002,23.52,22.59
5/1/2002,22.6,23.709999
6/1/2002,23.700001,23.190001
7/1/2002,23.15,20.559999
8/1/2002,20.6,20.450001
9/1/2002,20.25,17.690001
10/1/2002,17.879999,18.700001
11/1/2002,18.52,20.950001
12/1/2002,21.15,19.84
1/1/2003,20.040001,18.85
2/1/2003,18.790001,18.35
3/1/2003,18.32,18.379999
4/1/2003,18.450001,20.040001
5/1/2003,19.98,20.66
6/1/2003,20.799999,20.73
7/1/2003,20.66,22.360001
8/1/2003,22.35,22.98
9/1/2003,23.1,21.83
10/1/2003,21.959999,23.91
11/1/2003,23.91,24.450001
12/1/2003,24.6,26.690001
1/1/2004,26.85,25.51
2/1/2004,25.549999,26.84
3/1/2004,26.969999,26.129999
4/1/2004,26.299999,24.92
5/1/2004,24.969999,25.620001
6/1/2004,25.59,26.780001
7/1/2004,26.780001,26.17
8/1/2004,26.030001,26.610001
9/1/2004,26.549999,27.549999
10/1/2004,27.49,27.290001
11/1/2004,27.4,29.51
12/1/2004,29.559999,29.73
1/1/2005,29.790001,28.82
2/1/2005,28.75,31.09
3/1/2005,31.299999,30.16
4/1/2005,30.01,28.01
5/1/2005,28.02,27.83
6/1/2005,27.83,27.139999
7/1/2005,27.200001,28.639999
8/1/2005,28.6,27.440001
9/1/2005,27.5,27.5
10/1/2005,27.530001,27.559999
11/1/2005,27.700001,29.67
12/1/2005,29.76,30.280001
1/1/2006,30.110001,31.74
2/1/2006,31.85,31.059999
3/1/2006,31.030001,32.349998
4/1/2006,32.709999,33.5
5/1/2006,33.650002,32.150002
6/1/2006,31.950001,32.099998
7/1/2006,32.240002,30.9
8/1/2006,30.9,31.83
9/1/2006,31.860001,31.639999
10/1/2006,31.5,33.540001
11/1/2006,33.540001,35
12/1/2006,34.91,34.84
1/1/2007,34.849998,36.25
2/1/2007,36.630001,37.220001
3/1/2007,36.5,38.049999
4/1/2007,38.02,38.619999
5/1/2007,38.59,40.900002
6/1/2007,41,40.5
7/1/2007,40.830002,39.419998
8/1/2007,39.380001,39.150002
9/1/2007,39.27,42.110001
10/1/2007,42.150002,43.860001
11/1/2007,43.740002,41.650002
12/1/2007,41.900002,41.700001
1/1/2008,41.700001,39.950001
2/1/2008,40.759998,40.869999
3/1/2008,40.990002,40.169998
4/1/2008,40.529999,42.310001
5/1/2008,42.189999,44.509998
6/1/2008,44.330002,41.73
7/1/2008,41.119999,40.380001
8/1/2008,40.380001,39.75
9/1/2008,39.220001,33.400002
10/1/2008,32.759998,25.92
11/1/2008,25.969999,23.15
12/1/2008,22.77,22.74
1/1/2009,22.9,21.059999
2/1/2009,20.84,19.370001
3/1/2009,19,22.209999
4/1/2009,21.860001,25.67
5/1/2009,25.700001,27.17
6/1/2009,27.620001,25.799999
7/1/2009,26.08,29.120001
8/1/2009,29.629999,29.809999
9/1/2009,29.6,30.940001
10/1/2009,30.83,29.34
11/1/2009,29.450001,32.5
12/1/2009,33.029999,32.990002
1/1/2010,33.580002,30.139999
2/1/2010,30.459999,31.5
3/1/2010,31.67,33.919998
4/1/2010,34.259998,33.990002
5/1/2010,34.080002,30.75
6/1/2010,30.440001,28.370001
7/1/2010,28.34,32.009998
8/1/2010,32.52,31.040001
9/1/2010,31.440001,32.779999
10/1/2010,32.98,34.799999
11/1/2010,34.98,35.189999
12/1/2010,35.779999,38.41
1/1/2011,38.82,38.439999
2/1/2011,38.799999,39.459999
3/1/2011,39.549999,40.02
4/1/2011,40.25,40.869999
5/1/2011,41.02,39.75
6/1/2011,39.57,39.369999
7/1/2011,39.380001,38.009998
8/1/2011,38.709999,35.34
9/1/2011,35.310001,29.360001
10/1/2011,29.030001,34.450001
11/1/2011,33.099998,34.52
12/1/2011,34.34,33.5
1/1/2012,34.240002,37.18
2/1/2012,37.48,36.970001
3/1/2012,37.189999,36.970001
4/1/2012,36.919998,36.669998
5/1/2012,36.669998,33.82
6/1/2012,33.23,35.290001
7/1/2012,35.209999,34.84
8/1/2012,35.02,35.650002
9/1/2012,35.689999,36.799999
10/1/2012,37.040001,36.029999
11/1/2012,36.110001,36.700001
12/1/2012,36.810001,37.540001
1/1/2013,38.41,39.02
2/1/2013,39.23,38.490002
3/1/2013,38.240002,39.18
4/1/2013,39.150002,39.549999
5/1/2013,39.34,40.299999
6/1/2013,40.41,38.349998
7/1/2013,38.77,40.48
8/1/2013,40.75,40.43
9/1/2013,41.029999,42.009998
10/1/2013,42.009998,43.77
11/1/2013,43.82,44.34
12/1/2013,44.48,46.220001
1/1/2014,45.939999,44.040001
2/1/2014,43.970001,47.080002
3/1/2014,46.700001,47.279999
4/1/2014,47.5,47.669998
5/1/2014,47.619999,49.080002
6/1/2014,49.16,49.639999
7/1/2014,49.700001,48.650002
8/1/2014,48.549999,50.529999
9/1/2014,50.52,49.59
10/1/2014,49.5,48.400002
11/1/2014,48.419998,49.16
12/1/2014,49.009998,48.580002
1/1/2015,48.580002,47.689999
2/1/2015,47.740002,51.490002
3/1/2015,51.509998,48.779999
4/1/2015,48.880001,50.419998
5/1/2015,50.73,50.610001
6/1/2015,50.73,48.389999
7/1/2015,48.869999,45.950001
8/1/2015,45.91,43.360001
9/1/2015,42.220001,39.919998
10/1/2015,40.080002,45.279999
11/1/2015,45.349998,45.73
12/1/2015,45.759998,43.419998
1/1/2016,42.720001,38.77
2/1/2016,38.549999,41.799999
3/1/2016,42.299999,44.810001
4/1/2016,44.490002,47.099998
5/1/2016,47.290001,46.939999
6/1/2016,46.849998,46.34
7/1/2016,46.34,48.689999
8/1/2016,48.689999,48.560001
9/1/2016,48.709999,47.75
10/1/2016,47.779999,46.75
11/1/2016,46.849998,49.939999
12/1/2016,50.110001,49.700001
1/1/2017,49.830002,51.959999
2/1/2017,51.939999,52.25
3/1/2017,52.73,52.41
4/1/2017,52.43,53.07
5/1/2017,53.32,53.080002
6/1/2017,53.049999,53.810001
7/1/2017,53.939999,54.639999
8/1/2017,54.869999,55.07
9/1/2017,55.259998,56.799999
10/1/2017,56.73,59
11/1/2017,59.299999,59.560001
12/1/2017,59.669998,60.529999
1/1/2018,60.849998,62.950001
2/1/2018,62.509998,59.630001
3/1/2018,59.599998,56.939999
4/1/2018,56.75,57.009998
5/1/2018,56.700001,58.18
6/1/2018,58.610001,58.07
7/1/2018,57.650002,59.73
8/1/2018,59.599998,59.27
9/1/2018,59.110001,57.93
10/1/2018,58.25,52.610001
11/1/2018,53.57,54.610001
12/1/2018,55.740002,50.52
1/1/2019,49.779999,53.349998
2/1/2019,53.32,55.049999
3/1/2019,55.450001,55.5
4/1/2019,55.889999,57.450001
5/1/2019,57.529999,52.75
6/1/2019,52.900002,58.5
7/1/2019,58.93,58.34
8/1/2019,58.27,56.689999
9/1/2019,56.25,58.200001
10/1/2019,58.290001,58.189999
11/1/2019,58.490002,60.040001
12/1/2019,59.939999,61.419998
1/1/2020,61.830002,57.630001
2/1/2020,57.849998,52.720001
3/1/2020,53.220001,45.040001
4/1/2020,43.389999,51.880001
5/1/2020,50.98,55.450001
6/1/2020,55.470001,56.349998
7/1/2020,56.41,60.360001
8/1/2020,60.669998,62.990002
9/1/2020,62.990002,63.639999
10/1/2020,63.939999,63.18
11/1/2020,64.129997,70.989998
12/1/2020,72.199997,72.389999
1/1/2021,73.029999,70.639999
2/1/2021,71.370003,73.550003
3/1/2021,74.519997,78.800003
4/1/2021,78.93,83.040001
5/1/2021,83.75,87.260002
6/1/2021,88.269997,82.309998
7/1/2021,82.970001,84.019997
8/1/2021,84.419998,85.610001
9/1/2021,85.519997,79.110001
10/1/2021,79.489998,85.529999
