Date,Open,Close
1/1/1999,26.25,27.25
2/1/1999,27.375,27.28125
3/1/1999,27.21875,28
4/1/1999,28,29
5/1/1999,29.34375,28.109375
6/1/1999,27.96875,29.34375
7/1/1999,29.21875,28.46875
8/1/1999,28.5,27.1875
9/1/1999,27.0625,26.8125
10/1/1999,26.765625,28.171875
11/1/1999,28.296875,28.5
12/1/1999,28.46875,30.890625
1/1/2000,31,30.109375
2/1/2000,30.21875,28.140625
3/1/2000,28.265625,30.671875
4/1/2000,30.921875,30.3125
5/1/2000,30.40625,29.5
6/1/2000,29.5625,29.5625
7/1/2000,29.25,29.125
8/1/2000,29.03125,30.15625
9/1/2000,30.03125,29.0625
10/1/2000,29.25,29.5
11/1/2000,29.546875,26.8125
12/1/2000,26.875,27.25
1/1/2001,27,29.219999
2/1/2001,29.5,28.66
3/1/2001,28.530001,26.82
4/1/2001,26.950001,28.799999
5/1/2001,28.889999,29.9
6/1/2001,29.799999,29.549999
7/1/2001,29.549999,28.959999
8/1/2001,28.85,27.49
9/1/2001,27.450001,23.5
10/1/2001,23.5,23.620001
11/1/2001,23.469999,26.360001
12/1/2001,26.200001,26.950001
1/1/2002,27.200001,26.75
2/1/2002,27.049999,27.98
3/1/2002,28.049999,29.59
4/1/2002,29.1,29.41
5/1/2002,29.5,29.82
6/1/2002,29.950001,27.68
7/1/2002,27.5,26.879999
8/1/2002,26.700001,27.139999
9/1/2002,26.799999,25.379999
10/1/2002,25.66,26.860001
11/1/2002,26.6,27.690001
12/1/2002,27.85,26.549999
1/1/2003,26.75,26.459999
2/1/2003,26.549999,25.870001
3/1/2003,26,26.719999
4/1/2003,26.879999,27.6
5/1/2003,27.68,28.17
6/1/2003,28.4,29.33
7/1/2003,29.1,28.889999
8/1/2003,28.75,27.82
9/1/2003,27.82,27.809999
10/1/2003,28,28
11/1/2003,28.15,28.6
12/1/2003,28.85,30.15
1/1/2004,30.200001,30.98
2/1/2004,31.049999,31.309999
3/1/2004,31.370001,29.93
4/1/2004,30,30.860001
5/1/2004,31,30.76
6/1/2004,30.76,30.559999
7/1/2004,30.6,28.92
8/1/2004,28.92,29.389999
9/1/2004,29.450001,28.790001
10/1/2004,28.790001,28.15
11/1/2004,28.1,28.700001
12/1/2004,28.700001,30.190001
1/1/2005,30.450001,29.25
2/1/2005,29.35,30.129999
3/1/2005,30.299999,29.860001
4/1/2005,30.040001,30.9
5/1/2005,31.049999,31.290001
6/1/2005,31.34,31.030001
7/1/2005,31.1,31.73
8/1/2005,31.950001,31.620001
9/1/2005,31.700001,31.35
10/1/2005,31.450001,30.389999
11/1/2005,30.450001,30.76
12/1/2005,31,31.719999
1/1/2006,31.780001,32.130001
2/1/2006,32.290001,32.5
3/1/2006,32.459999,31.98
4/1/2006,32.099998,30.99
5/1/2006,30.93,30.34
6/1/2006,30.469999,30.24
7/1/2006,30.23,31.889999
8/1/2006,31.879999,32.799999
9/1/2006,32.799999,33.189999
10/1/2006,33.080002,33.299999
11/1/2006,33.25,33.259998
12/1/2006,33.299999,33.490002
1/1/2007,33.700001,34.509998
2/1/2007,34.650002,33.709999
3/1/2007,33.43,33.650002
4/1/2007,33.799999,36.110001
5/1/2007,36.060001,36.73
6/1/2007,36.740002,35.310001
7/1/2007,35.419998,33.630001
8/1/2007,33.57,34.400002
9/1/2007,34.509998,35.349998
10/1/2007,35.5,36.009998
11/1/2007,36.009998,36.470001
12/1/2007,36.830002,35.310001
1/1/2008,35.630001,33.700001
2/1/2008,33.369999,32.799999
3/1/2008,32.650002,31.17
4/1/2008,31.299999,31.48
5/1/2008,31.360001,32.080002
6/1/2008,32.040001,30.58
7/1/2008,30.190001,31.950001
8/1/2008,32.07,32.610001
9/1/2008,32.900002,30.049999
10/1/2008,30.1,26.6
11/1/2008,26.67,24.92
12/1/2008,24.799999,26.549999
1/1/2009,26.559999,26.23
2/1/2009,26,22.98
3/1/2009,23.66,24.209999
4/1/2009,23.92,24.18
5/1/2009,24.139999,25.83
6/1/2009,26.02,26.309999
7/1/2009,26.459999,27.870001
8/1/2009,28.02,28.620001
9/1/2009,28.620001,28.67
10/1/2009,28.690001,28.07
11/1/2009,28.08,30.68
12/1/2009,30.76,31.07
1/1/2010,31.469999,31.280001
2/1/2010,31.33,31.4
3/1/2010,31.4,32.130001
4/1/2010,32.299999,30.879999
5/1/2010,30.879999,28.870001
6/1/2010,28.76,28.200001
7/1/2010,28.15,28.57
8/1/2010,28.879999,28.1
9/1/2010,28.370001,30.49
10/1/2010,30.709999,31.17
11/1/2010,31.34,30.27
12/1/2010,30.610001,31.5
1/1/2011,31.67,31.68
2/1/2011,31.809999,32.669998
3/1/2011,32.77,33.110001
4/1/2011,33.23,35.240002
5/1/2011,35.48,36.110001
6/1/2011,35.990002,35.529999
7/1/2011,35.529999,34.119999
8/1/2011,34.450001,33.400002
9/1/2011,33.389999,31.73
10/1/2011,31.49,33.560001
11/1/2011,32.93,33.880001
12/1/2011,33.799999,34.689999
1/1/2012,35.099998,35.799999
2/1/2012,35.91,36.18
3/1/2012,36.209999,37.610001
4/1/2012,37.610001,37.509998
5/1/2012,37.439999,36.150002
6/1/2012,35.799999,38.009998
7/1/2012,38.139999,38.389999
8/1/2012,38.610001,38.84
9/1/2012,38.799999,40.119999
10/1/2012,40.240002,40.029999
11/1/2012,39.990002,40.240002
12/1/2012,40.34,39.880001
1/1/2013,40.68,42.91
2/1/2013,43.09,43.450001
3/1/2013,43.360001,45.950001
4/1/2013,45.98,47.330002
5/1/2013,46.93,48.110001
6/1/2013,48.380001,47.610001
7/1/2013,47.75,51.02
8/1/2013,51.34,49.220001
9/1/2013,49.720001,50.59
10/1/2013,50.630001,52.77
11/1/2013,52.889999,55.259998
12/1/2013,55.240002,55.439999
1/1/2014,55.310001,55.959999
2/1/2014,56.099998,59.439999
3/1/2014,58.66,58.490002
4/1/2014,58.66,58.119999
5/1/2014,58.16,59.790001
6/1/2014,59.740002,60.830002
7/1/2014,61.07,60.91
8/1/2014,60.77,63.860001
9/1/2014,63.990002,63.91
10/1/2014,64.099998,67.269997
11/1/2014,67.370003,69.610001
12/1/2014,69.360001,68.379997
1/1/2015,68.709999,69.269997
2/1/2015,69.400002,72.239998
3/1/2015,72.470001,72.5
4/1/2015,72.529999,71.709999
5/1/2015,72.199997,74.940002
6/1/2015,75.370003,74.389999
7/1/2015,75.160004,76.589996
8/1/2015,76.669998,70.489998
9/1/2015,68.639999,66.230003
10/1/2015,66.389999,71.339996
11/1/2015,71.75,71.110001
12/1/2015,71.480003,72.029999
1/1/2016,70.769997,66.470001
2/1/2016,66.019997,66.230003
3/1/2016,66.599998,67.779999
4/1/2016,67.5,69.790001
5/1/2016,69.919998,71.349998
6/1/2016,71.129997,71.709999
7/1/2016,71.870003,75.199997
8/1/2016,75.269997,72.760002
9/1/2016,72.760002,72.110001
10/1/2016,71.790001,67.360001
11/1/2016,67.400002,68.75
12/1/2016,68.830002,68.940002
1/1/2017,69.309998,70.519997
2/1/2017,70.519997,74.989998
3/1/2017,75.440002,74.360001
4/1/2017,74.440002,75.5
5/1/2017,75.629997,76.080002
6/1/2017,76.209999,79.239998
7/1/2017,79.510002,79.889999
8/1/2017,80.18,81.290001
9/1/2017,81.410004,81.730003
10/1/2017,81.970001,81.110001
11/1/2017,81.25,83.470001
12/1/2017,83.43,82.68
1/1/2018,82.989998,88.099998
2/1/2018,87.760002,84.139999
3/1/2018,83.989998,81.400002
4/1/2018,81.059998,82.260002
5/1/2018,82.160004,82.410004
6/1/2018,82.739998,83.459999
7/1/2018,83,88.93
8/1/2018,88.879997,92.779999
9/1/2018,92.699997,95.150002
10/1/2018,95.510002,88.699997
11/1/2018,89,95.870003
12/1/2018,95.809998,86.510002
1/1/2019,85.18,90.669998
2/1/2019,90.779999,91.650002
3/1/2019,92.220001,91.75
4/1/2019,92.309998,89.260002
5/1/2019,89.379997,87.279999
6/1/2019,87.360001,92.639999
7/1/2019,93.370003,91.139999
8/1/2019,91.150002,90.599998
9/1/2019,90.07,90.129997
10/1/2019,90.370003,94.75
11/1/2019,95.260002,99.489998
12/1/2019,99.690002,101.860001
1/1/2020,102.169998,99.139999
2/1/2020,99.830002,92.610001
3/1/2020,92.639999,88.580002
4/1/2020,85.620003,99.730003
5/1/2020,98.589996,103.010002
6/1/2020,102.360001,100.07
7/1/2020,100.540001,105.529999
8/1/2020,106.190002,108.260002
9/1/2020,108.120003,105.480003
10/1/2020,105.970001,101.660004
